200	0.679270
300	0.678528
400	0.675217
500	0.671591
600	0.672778
700	0.667861
800	0.662998
900	0.662221
1000	0.658160
1100	0.656114
1200	0.658244
1300	0.654552
1400	0.650397
1500	0.650834
1600	0.645295
1700	0.641232
1800	0.639040
1900	0.633105
2000	0.633562
2100	0.629682
2200	0.619224
2300	0.621453
2400	0.618627
2500	0.615132
2600	0.607334
2700	0.610305
2800	0.608900
2900	0.605512
3000	0.606094
3100	0.602028
3200	0.597473
3300	0.593958
3400	0.591281
3500	0.588275
3600	0.585695
3700	0.584219
3800	0.577797
3900	0.575856
4000	0.574205
4100	0.571482
4200	0.568649
4300	0.565461
4400	0.560857
4500	0.557566
4600	0.554831
4700	0.553754
4800	0.556767
4900	0.548209
5000	0.544244
